"ESPECIES";"INSTITUCIÓN";"AÑO";"AUTOR";"TÍTULO"
"Phoenicopterus chilensis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2013;"Jhonson Vizcarra Romero.";"ESTUDIO POBLACIONAL DE Phoenicoparrus jamesi, P. andinus y Phoenicopterus chilensis EN LOS HUMEDALES DE ITE."
"Phoenicopterus chilensis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Phoenicopterus chilensis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN POBLACIONAL DE FLAMENCOS ALTOANDINOS EN LA REGIÓN TACNA 2008-2009."
"Phoenicopterus chilensis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Colaptes atricollis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2014;"Jhonson Vizcarra Romero.";"EVALUACIÓN DE AVES SILVESTRES EN LOS VALLES DE LOCUMBA Y SAMA."
"Colaptes rupicola";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Colaptes rupicola";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Colaptes rupicola";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Colaptes rupicola";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"Podiceps major";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Podiceps major";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Podiceps major";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Podiceps major";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Podiceps major";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Podiceps occipitalis";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Podiceps occipitalis";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Podiceps occipitalis";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Podiceps occipitalis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Podiceps occipitalis";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Podilymbus podiceps";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Podilymbus podiceps";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Podilymbus podiceps";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Podilymbus podiceps";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Rollandia rolland";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Rollandia rolland";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Thalassarche melanophris";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Thalassarche salvini";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Oceanites gracilis";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Oceanites oceanicus";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Oceanites oceanicus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Oceanites oceanicus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Hydrobates hornbyi";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Hydrobates hornbyi";"Proyecto Nuestro Medio Ambiente Marino, Tacna, Perú.";2012;"José Pizarro Neyra.";"AVES MARINAS AMENAZADAS DE TACNA."
"Hydrobates markhami";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Hydrobates markhami";"Proyecto Nuestro Medio Ambiente Marino, Tacna, Perú.";2012;"José Pizarro Neyra.";"AVES MARINAS AMENAZADAS DE TACNA."
"Ardenna bulleri";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Ardenna creatopus";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Ardenna grisea";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Daption capense";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Fulmarus glacialoides";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Fulmarus glacialoides";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Fulmarus glacialoides";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Macronectes giganteus";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Macronectes giganteus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Macronectes giganteus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Macronectes halli";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Macronectes halli";"Proyecto Nuestro Medio Ambiente Marino, Tacna, Perú.";2012;"José Pizarro Neyra.";"AVES MARINAS AMENAZADAS DE TACNA."
"Pachyptila desolata";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Pelecanoides garnotii";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Procellaria aequinoctialis";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Procellaria aequinoctialis";"Proyecto Nuestro Medio Ambiente Marino, Tacna, Perú.";2012;"José Pizarro Neyra.";"AVES MARINAS AMENAZADAS DE TACNA."
"Psilopsiagon aurifrons";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Psilopsiagon aurifrons";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Psilopsiagon aurifrons";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Psilopsiagon aurifrons";"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN";2014;"Romina Venturia Candia.";"Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"Psilopsiagon aurifrons";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Psittacara erythrogenys";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Psittacara erythrogenys";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Himantopus mexicanus";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Himantopus mexicanus";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Himantopus mexicanus";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Himantopus mexicanus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Himantopus mexicanus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"Spheniscus humboldti";"Científica 9 (3). Revista de la Universidad Cientifica del Sur.";2012;"Nataly Hidalgo Aranzamendi, Giovana Chipana Incacuña.";"DENSIDAD, ESTACIONALIDAD Y ESTADO DE CONSERVACIÓN DE LAS AVES MARINAS EN LA REGIÓN TACNA"
"Spheniscus humboldti";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Spheniscus humboldti";"Proyecto Nuestro Medio Ambiente Marino, Tacna, Perú.";2012;"José Pizarro Neyra.";"AVES MARINAS AMENAZADAS DE TACNA."
"Asio flammeus";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Athene cunicularia";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Athene cunicularia";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Athene cunicularia";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Athene cunicularia";"UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN";2014;"Romina Venturia Candia.";"Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"Athene cunicularia";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Athene cunicularia";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"AVIFAUNA DEL TILLANDSIAL EN LA REGIÓN TACNA. "
"Athene cunicularia";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2014;"Richard Lazo Ramos.";"ESTUDIO DE LA ESTRUCTURA COMUNITARIA, FUNCIÓN ECOFISIOLÓGICA, RED TRÓFICA Y PROPUESTA DE CONSERVACIÓN DEL TILLANDSIAL DE TACNA."
"Bubo virginianus";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Bubo virginianus";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"AVIFAUNA E IMPACTO ANTRÓPICO EN RELICTOS DE QUEÑUAS EN LA REGIÓN TACNA."
"Glaucidium peruanum";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Glaucidium peruanum";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Glaucidium peruanum";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"Glaucidium peruanum";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2013;"Horacio Zeballos Patrón.";"ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"Tyto furcata";"Revista The Biologist (Lima). Vol. 8, Nº1.";2010;"Jhonson Vizcarra Romero.";"NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"Tyto furcata";"Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)";2006;"Jhonson Vizcarra Romero.";"AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"Tyto furcata";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\".";2013;"Horacio Zeballos Patrón.";"ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO."
"Rhea pennata";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Rhea pennata";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Lleellish Miguel, Salinas Letty y Chipana Esteban.";"ESTADO DE CONSERVACIÓN DEL SURI Pterocnemia pennata EN EL PERÚ.  "
"Rhea pennata";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2008;"Giovanna Chipana Incacuña ";" I CENSO REGIONAL DEL SURI (Rhea pennata) - 2008. REGION TACNA."
"Rhea pennata";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"Rhea pennata";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE Tinamotis pentlandii Y OTRAS AVES ALTOANDINAS EN LA PUNA DE LA REGIÓN TACNA 2009."
"Nothoprocta pentlandii";"Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.";2007;"Letty Salinas Sánchez";"AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"Nothoprocta pentlandii";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Tinamotis pentlandii";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"Tinamotis pentlandii";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2010;"Romina Venturia Candia.";"IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"Tinamotis pentlandii";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.";2015;"Evaristo L. López Tejeda";"Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"Tinamotis pentlandii";"Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\".";2009;"Nataly Hidalgo Aranzamendi.";"EVALUACIÓN DE Tinamotis pentlandii Y OTRAS AVES ALTOANDINAS EN LA PUNA DE LA REGIÓN TACNA 2009."
"Lycalopex culpaeus";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna\"";2009;"Hugo Zamora Mesa, Richard Lazo Ramos y Joel Córdova Maquera.";"LISTA DE MAMIFEROS DE TACNA "
"Lycalopex culpaeus";"Fondo Nacional para Áreas Naturales Protegidas por el Estado (PROFONANPE). Proyecto: \"Fortalecimiento de la Conservación de la Biodiversidad a través del Programa Nacional de Áreas Naturales Protegidas (PRONANP)\"";2011;"Cesar Nicolás Cáceres Musaja.";"ELABORACIÓN DE ESTUDIOS TÉCNICOS PARA LA DEFINICIÓN DE SITIOS PRIORITARIOS, ANÁLISIS DE CONECTIVIDAD Y DEFINICIÓN DE INDICADORES DE REPRESENTATIVIDAD Y CONECTIVIDAD - COMPONENTE BIODIVERSIDAD"
"Lycalopex culpaeus";"Gobierno Regional de Tacna. Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: \"Mejoramiento del Servicio de Monitoreo e Información Ambiental\"";2013;"Horacio Zeballos Patrón.";"ELABORACIÓN DEL "ESTUDIO DE LA BIODIVERSIDAD DEL VALLE DE CINTO\""
