SCIENTIFIC NAME,SPANISH NAME
Leucophaeus pipixcan,Franklin’s Gull Gaviota de Franklin
Larus belcheri,Belcher’s Gull Gaviota Peruana
Larus dominicanus,Kelp Gull Gaviota Dominicana
Larus argentatus,Herring Gull Gaviota Argéntea
Anous minutus,Black Noddy Tiñosa Negra
Onychoprion fuscatus,Sooty Tern Gaviotín Oscuro
Sternula antillarum,Least Tern Gaviotín Chico
Sternula superciliaris,Yellow-billed Tern Gaviotín de Pico Amarillo
Sternula lorata,Peruvian Tern Gaviotín Peruano
Phaetusa simplex,Large-billed Tern Gaviotín de Pico Grande
Gelochelidon nilotica,Gull-billed Tern Gaviotín de Pico Negro
Hydroprogne caspia,Caspian Tern Gaviotín de Pico Rojo
Larosterna inca,Inca Tern Gaviotín Zarcillo
Chlidonias niger,Black Tern Gaviotín Negro
Sterna hirundo,Common Tern Gaviotín Común
Sterna paradisaea,Arctic Tern Gaviotín Artico
Sterna hirundinacea,South American Tern Gaviotín Sudamericano
Sterna trudeaui,Snowy-crowned Tern Gaviotín de Cabeza Blanca
Thalasseus elegans,Elegant Tern Gaviotín Elegante
Thalasseus sandvicensis,Sandwich Tern Gaviotín de Pata Negra
Thalasseus maximus,Royal Tern Gaviotín Real
Eurypyga helias,Sunbittern Tigana
Phaethon aethereus,Red-billed Tropicbird Ave del Trópico de Pico Rojo
Phaethon rubricauda,Red-tailed Tropicbird Ave del Trópico de Cola Roja
Aptenodytes patagonicus,King Penguin Pingüino Rey
Spheniscus humboldti,Humboldt Penguin Pingüino de Humboldt
Spheniscus magellanicus,Magellanic Penguin Pingüino de Magallanes
Phoebastria irrorata,Waved Albatross Albatros de las Galápagos
Thalassarche melanophris,Black-browed Albatross Albatros de Ceja Negra
Thalassarche chrysostoma,Gray-headed Albatross Albatros de Cabeza Gris
Thalassarche bulleri,Buller’s Albatross Albatros de Buller
Thalassarche salvini,Salvin’s Albatross Albatros de Salvin
Thalassarche eremita,Chatham Albatross Albatros de Chatham
Fregetta grallaria,White-bellied Storm-Petrel Golondrina de Mar de Vientre Blanc o
Fregetta tropica,Black-bellied Storm-Petrel Golondrina de Mar de Vientre Negro
Oceanites oceanicus,Wilson’s Storm-Petrel Golondrina de Mar de Wilson
Oceanites gracilis,Elliot’s Storm-Petrel Golondrina de Mar Chica
Garrodia nereis,Gray-backed Storm-Petrel Golondrina de Mar Subantártica
Pelagodroma marina,White-faced Storm-Petrel Golondrina de Mar de Cara BlancaFamily LARIDAE: Gulls and Terns / Gaviotas y Gaviotines
Hydrobates microsoma,Least Storm-Petrel Golondrina de Mar Menuda
Hydrobates tethys,Wedge-rumped Storm-Petrel Golondrina de Mar Peruana
Hydrobates castro,Band-rumped Storm-Petrel Golondrina de Mar de Madeira
Hydrobates leucorhoa,Leach’s Storm Petrel Golondrina de Mar Boreal
Hydrobates markhami,Markham’s Storm-Petrel Golondrina de Mar de Markham
Hydrobates hornbyi,Hornby’s Storm-Petrel Golondrina de Mar de Hornby
Hydrobates melania,Black Storm-Petrel Golondrina de Mar Negra
Macronectes giganteus,Southern Giant-Petrel Petrel Gigante Sureño
Macronectes halli,Northern Giant-Petrel Petrel Gigante Norteño
Fulmarus glacialoides,Southern Fulmar Petrel Plateado
Daption capense,Pintado Petrel Petrel Damero
Pterodroma cookii,Cook’s Petrel Petrel de Cook
Pterodroma defilippiana,Masatierra Petrel Petrel Chileno
Pterodroma neglecta,Kermadec Petrel Petrel de Kermadec
Pterodroma phaeopygia,Galapagos Petrel Petrel de las Galápagos
Pterodroma axillaris,Chatham Petrel Petrel de Chatham
Pterodroma externa,Juan Fernández Petrel Petrel de Juan Fernández
Pachyptila vittata,Broad-billed Prion Petrel-Azul de Pico Ancho
Pachyptila desolata,Antarctic Prion Petrel-Azul Antártico
Pachyptila belcheri,Slender-billed Prion Petrel-Azul de Pico Delgado
Procellaria cinerea,Gray Petrel Petrel Gris
Procellaria aequinoctialis,White-chinned Petrel Petrel de Mentón Blanco
Procellaria parkinsoni,Parkinson’s Petrel Petrel de Parkinson
Procellaria westlandica,Westland Petrel Petrel de Westland
Ardenna pacifica,Wedge-tailed Shearwater Pardela Cola de Cuña
Ardenna bulleri,Buller’s Shearwater Pardela de Buller
Ardenna grisea,Sooty Shearwater Pardela Oscura
Ardenna creatopus,Pink-footed Shearwater Pardela de Pata Rosada
Ardenna carneipes,Flesh-footed Shearwater Pardela de Pata Pálida
Puffinus puffinus,Manx Shearwater Pardela Atlántica
Puffinus subalaris,Galapagos Shearwater Pardela de las Galápagos
Puffinus assimilis,Little Shearwater Pardela Chica
Pelecanoides garnotii,Peruvian Diving-Petrel Potoyunco Peruano
Ciconia maguari,Maguari Stork Cigüeña Maguari
Jabiru mycteria,Jabiru Jabirú
Mycteria americana,Wood Stork Cigüeña Gabán
Fregata magnificens,Magnificent Frigatebird Avefragata Magnífica
Fregata minor,Great Frigatebird Avefragata Grande
Morus capensis,Cape Gannet Alcatraz de El Cabo
Sula nebouxii,Blue-footed Booby Piquero de Pata Azul
Sula variegata,Peruvian Booby Piquero Peruano
Sula dactylatra,Masked Booby Piquero Enmascarado
Sula granti,Nazca Booby Piquero de Nazca
Sula sula,Red-footed Booby Piquero de Pata Roja
Sula brewsteri,Brewster's Booby Piquero de Brewster
Anhinga anhinga,Anhinga Anhinga Americana
Phalacrocorax gaimardi,Red-legged Cormorant Cormorán de Pata Roja
Phalacrocorax brasilianus,Neotropic Cormorant Cormorán Neotropical
Phalacrocorax bougainvillii,Guanay Cormorant Cormorán GuanayFamily HYDROBATIDAE Northern Storm-Petrels / Golondrinas de Mar del Norte
Pelecanus occidentalis,Brown Pelican Pelícano Pardo
Pelecanus thagus,Peruvian Pelican Pelícano Peruano
Tigrisoma lineatum,Rufescent Tiger-Heron Garza-Tigre Colorada
Tigrisoma fasciatum,Fasciated Tiger-Heron Garza-Tigre Oscura
Tigrisoma mexicanum,Bare-throated Tiger-Heron Garza-Tigre Mexicana
Agamia agami,Agami Heron Garza de Pecho Castaño
Cochlearius cochlearius,Boat-billed Heron Garza Cucharón
Zebrilus undulatus,Zigzag Heron Garza Zebra
Botaurus pinnatus,Pinnated Bittern Mirasol Grande
Ixobrychus exilis,Least Bittern Mirasol Leonado
Ixobrychus involucris,Stripe-backed Bittern Mirasol Listado
Nycticorax nycticorax,Black-crowned Night-Heron Huaco Común
Nyctanassa violacea,Yellow-crowned Night-Heron Huaco de Corona Amarilla
Butorides striata,Striated Heron Garcita Estriada
Bubulcus ibis,Cattle Egret Garcita Bueyera
Ardea cocoi,Cocoi Heron Garza Cuca
Ardea alba,Great Egret Garza Grande
Syrigma sibilatrix,Whistling Heron Garza Silbadora
Pilherodius pileatus,Capped Heron Garza Pileada
Egretta tricolor,Tricolored Heron Garcita Tricolor
Egretta rufescens,Reddish Egret Garcita Rojiza
Egretta thula,Snowy Egret Garcita Blanca
Egretta caerulea,Little Blue Heron Garcita Azul
Eudocimus albus,White Ibis Corocoro Blanco
Eudocimus ruber,Scarlet Ibis Corocoro Escarlata
Plegadis ridgwayi,Puna Ibis Ibis de la Puna
Mesembrinibis cayennensis,Green Ibis Ibis Verde
Phimosus infuscatus,Bare-faced Ibis Ibis de Cara Pelada
Theristicus caudatus,Buff-necked Ibis Bandurria de Ala Blanca
Theristicus branickii,Andean Ibis Bandurria Andina
Theristicus melanopis,Black-faced Ibis Bandurria de Cara Negra
Platalea ajaja,Roseate Spoonbill Espátula Rosada
Sarcoramphus papa,King Vulture Gallinazo Rey
Vultur gryphus,Andean Condor Cóndor Andino
Coragyps atratus,Black Vulture Gallinazo de Cabeza Negra
Cathartes aura,Turkey Vulture Gallinazo de Cabeza Roja
Cathartes burrovianus,Lesser Yellow-headed Vulture Gallinazo de Cabeza Amarilla Menor
Cathartes melambrotus,Greater Yellow-headed Vulture Gallinazo de Cabeza Amarilla Mayor
Pandion haliaetus,Osprey Aguila Pescadora
Elanus leucurus,White-tailed Kite Elanio de Cola Blanca
Gampsonyx swainsonii,Pearl Kite Elanio Perla
Chondrohierax uncinatus,Hook-billed Kite Elanio de Pico Ganchudo
Leptodon cayanensis,Gray-headed Kite Elanio de Cabeza Gris
Elanoides forficatus,Swallow-tailed Kite Elanio Tijereta
Morphnus guianensis,Crested Eagle Aguila Crestada
Harpia harpyja,Harpy Eagle Aguila Harpía
Spizaetus tyrannus,Black Hawk-Eagle Aguila Negra
Spizaetus melanoleucus,Black-and-white Hawk-Eagle Aguila Blanca y Negra
Spizaetus ornatus,Ornate Hawk-Eagle Aguila Penachuda
Spizaetus isidori,Black-and-chestnut Eagle Aguila Negra y Castaña
Busarellus nigricollis,Black-collared Hawk Gavilán de Ciénega
Rostrhamus sociabilis,Snail Kite Elanio Caracolero
Helicolestes hamatus,Slender-billed Kite Elanio de Pico Delgado
Harpagus bidentatus,Double-toothed Kite Elanio BidentadoFamily THRESKIORNITHIDAE: Ibises and Spoonbills / Ibises y Espá tulas
Ictinia mississippiensis,Mississippi Kite Elanio de Mississippi
Ictinia plumbea,Plumbeous Kite Elanio Plomizo
Circus cinereus,Cinereous Harrier Aguilucho Cenizo
Circus buffoni,Long-winged Harrier Aguilucho de Ala Larga
Accipiter poliogaster,Gray-bellied Hawk Gavilán de Vientre Gris
Accipiter striatus,Sharp-shinned Hawk Gavilán Pajarero
Accipiter bicolor,Bicolored Hawk Gavilán Bicolor
Microspizias superciliosus,Tiny Hawk Gavilán Enano
Microspizias collaris,Semicollared Hawk Gavilán Semiacollarado
Geranospiza caerulescens,Crane Hawk Gavilán Zancón
Buteogallus schistaceus,Slate-colored Hawk Gavilán Pizarroso
Buteogallus anthracinus,Common Black Hawk Gavilán Cangrejero
Buteogallus meridionalis,Savanna Hawk Gavilán Sabanero
Buteogallus urubitinga,Great Black Hawk Gavilán Negro
Buteogallus solitarius,Solitary Eagle Aguila Solitaria
Morphnarchus princeps,Barred Hawk Gavilán Barrado
Rupornis magnirostris,Roadside Hawk Aguilucho Caminero
Parabuteo unicinctus,Harris’s Hawk Gavilán Mixto
Parabuteo leucorrhous,White-rumped Hawk Aguilucho de Lomo Blanco
Geranoaetus albicaudatus,White-tailed Hawk Aguilucho de Cola Blanca
Geranoaetus polyosoma,Variable Hawk Aguilucho Variable
Geranoaetus melanoleucus,Black-chested Buzzard-Eagle Aguilucho de Pecho Negro
Pseudastur albicollis,White Hawk Gavilán Blanco
Pseudastur occidentalis,Gray-backed Hawk Gavilán de Dorso Gris
Leucopternis melanops,Black-faced Hawk Gavilán de Cara Negra
Leucopternis kuhli,White-browed Hawk Gavilán de Ceja Blanca
Buteo nitidus,Gray-lined Hawk Gavilan Gris Lineado
Buteo platypterus,Broad-winged Hawk Aguilucho de Ala Ancha
Buteo albigula,White-throated Hawk Aguilucho de Garganta Blanca
Buteo brachyurus,Short-tailed Hawk Aguilucho de Cola Corta
Buteo swainsoni,Swainson’s Hawk Aguilucho de Swainson
Buteo albonotatus,Zone-tailed Hawk Aguilucho de Cola Fajeada
Tyto furcata,American Barn-Owl Lechuza de Campanario Americana
Megascops albogularis,White-throated Screech-Owl Lechuza de Garganta Blanca
Megascops choliba,Tropical Screech-Owl Lechuza Tropical
Megascops koepckeae,Koepcke’s Screech-Owl Lechuza de Koepcke
Megascops ingens,Rufescent Screech-Owl Lechuza Rojiza
Megascops petersoni,Cinnamon Screech-Owl Lechuza Canela
Megascops marshalli,Cloud-forest Screech-Owl Lechuza de Bosque de Neblina
Megascops roraimae,Foothill Screech-Owl Lechuza Submontana
Megascops roboratus,Peruvian Screech-Owl Lechuza Peruana
Megascops watsonii,Tawny-bellied Screech-Owl Lechuza de Vientre Leonado
Lophostrix cristata,Crested Owl Búho Penachudo
Pulsatrix perspicillata,Spectacled Owl Búho de Anteojos
Pulsatrix melanota,Band-bellied Owl Búho de Vientre Bandeado
Bubo virginianus,Great Horned Owl Búho Americano
Strix virgata,Mottled Owl Búho Café
Strix nigrolineata,Black-and-white Owl Búho Blanco y Negro
Strix huhula,Black-banded Owl Búho Negro Bandeado
Strix albitarsis,Rufous-banded Owl Búho Rufo Bandeado
Glaucidium jardinii,Andean Pygmy-Owl Lechucita Andina
Glaucidium bolivianum,Yungas Pygmy-Owl Lechucita de las Yungas
Glaucidium parkeri,Subtropical Pygmy-Owl Lechucita Subtropical
Glaucidium hardyi,Amazonian Pygmy-Owl Lechucita AmazónicaOrder STRIGIFORMES
Glaucidium brasilianum,Ferruginous Pygmy-Owl Lechucita Ferruginosa
Glaucidium peruanum,Peruvian Pygmy-Owl Lechucita Peruana
Xenoglaux loweryi,Long-whiskered Owlet Lechucita Bigotona
Athene cunicularia,Burrowing Owl Lechuza Terrestre
Aegolius harrisii,Buff-fronted Owl Lechucita de Frente Anteada
Asio clamator,Striped Owl Búho Listado
Asio stygius,Stygian Owl Búho Estigio
Asio flammeus,Short-eared Owl Lechuza de Oreja Corta
Pharomachrus pavoninus,Pavonine Quetzal Quetzal Pavonino
Pharomachrus auriceps,Golden-headed Quetzal Quetzal de Cabeza Dorada
Pharomachrus antisianus,Crested Quetzal Quetzal Crestado
Trogon mesurus,Ecuadorian Trogon Trogón Ecuatoriano
Trogon melanurus,Black-tailed Trogon Trogón de Cola Negra
Trogon viridis,Green-backed Trogon Trogón de Dorso Verde
Trogon caligatus,Gartered Violaceous-Trogon Trogón-Violaceo de Liguero
Trogon ramonianus,Amazonian Violaceous-Trogon Trogón-Violaceo Amazónico
Trogon curucui,Blue-crowned Trogon Trogón de Corona Azul
Trogon rufus,Black-throated Trogon Trogón de Garganta Negra
Trogon collaris,Collared Trogon Trogón Acollarado
Trogon personatus,Masked Trogon Trogón Enmascarado
Electron platyrhynchum,Broad-billed Motmot Relojero de Pico Ancho
Baryphthengus martii,Rufous Motmot Relojero Rufo
Momotus subrufescens,Whooping Motmot Relojero Gritón
Momotus momota,Amazonian Motmot Relojero Amazónico
Momotus aequatorialis,Andean Motmot Relojero Andino
Megaceryle torquata,Ringed Kingfisher Martín Pescador Grande
Chloroceryle amazona,Amazon Kingfisher Martín Pescador Amazónico
Chloroceryle aenea,American Pygmy Kingfisher Martín Pescador Pigmeo
Chloroceryle americana,Green Kingfisher Martín Pescador Verde
Chloroceryle inda,Green-and-rufous Kingfisher Martín Pescador Verde y Rufo
Galbalcyrhynchus leucotis,White-eared Jacamar Jacamar de Oreja Blanca
Galbalcyrhynchus purusianus,Purus Jacamar Jacamar del Purús
Brachygalba albogularis,White-throated Jacamar Jacamar de Garganta Blanca
Brachygalba lugubris,Brown Jacamar Jacamar Pardo
Galbula albirostris,Yellow-billed Jacamar Jacamar de Pico Amarillo
Galbula cyanicollis,Blue-cheeked Jacamar Jacamar de Mejilla Azul
Galbula tombacea,White-chinned Jacamar Jacamar de Barbilla Blanca
Galbula cyanescens,Bluish-fronted Jacamar Jacamar de Frente Azulada
Galbula pastazae,Coppery-chested Jacamar Jacamar de Pecho Cobrizo
Galbula chalcothorax,Purplish Jacamar Jacamar Purpúreo
Galbula leucogastra,Bronzy Jacamar Jacamar Bronceado
Galbula dea,Paradise Jacamar Jacamar del Paraíso
Jacamerops aureus,Great Jacamar Jacamar Grande
Notharchus hyperrhynchus,White-necked Puffbird Buco de Cuello Blanco
Notharchus ordii,Brown-banded Puffbird Buco Pardo Bandeado
Notharchus tectus,Pied Puffbird Buco Pinto
Bucco macrodactylus,Chestnut-capped Puffbird Buco de Gorro Castaño
Bucco tamatia,Spotted Puffbird Buco Moteado
Bucco capensis,Collared Puffbird Buco Acollarado
Nystalus radiatus,Barred Puffbird Buco Barrado
Nystalus obamai,Western Striolated-Puffbird Buco Estriolado OccidentalFamily MOMOTIDAE: Motmots / Momotos
Nystalus chacuru,White-eared Puffbird Buco de Oreja Blanca
Malacoptila fusca,White-chested Puffbird Buco de Pecho Blanco
Malacoptila semicincta,Semicollared Puffbird Buco Semiacollarado
Malacoptila rufa,Rufous-necked Puffbird Buco de Cuello Rufo
Malacoptila panamensis,White-whiskered Puffbird Buco de Bigote Blanco
Malacoptila fulvogularis,Black-streaked Puffbird Buco Listado de Negro
Micromonacha lanceolata,Lanceolated Monklet Monjecito Lanceolado
Nonnula rubecula,Rusty-breasted Nunlet Monjita de Pecho Rojizo
Nonnula sclateri,Fulvous-chinned Nunlet Monjita de Barbilla Leonada
Nonnula brunnea,Brown Nunlet Monjita Parda
Nonnula ruficapilla,Rufous-capped Nunlet Monjita de Gorro Rufo
Hapaloptila castanea,White-faced Nunbird Monja de Cara Blanca
Monasa nigrifrons,Black-fronted Nunbird Monja de Frente Negra
Monasa morphoeus,White-fronted Nunbird Monja de Frente Blanca
Monasa flavirostris,Yellow-billed Nunbird Monja de Pico Amarillo
Chelidoptera tenebrosa,Swallow-wing Buco Golondrina
Capito aurovirens,Scarlet-crowned Barbet Barbudo de Corona Escarlata
Capito wallacei,Scarlet-banded Barbet Barbudo de Franja Escarlata
Capito auratus,Gilded Barbet Barbudo Brilloso
Eubucco richardsoni,Lemon-throated Barbet Barbudo de Garganta Limón
Eubucco tucinkae,Scarlet-hooded Barbet Barbudo de Capucha Escarlata
Eubucco bourcierii,Red-headed Barbet Barbudo de Cabeza Roja
Eubucco versicolor,Versicolored Barbet Barbudo Versicolor
Ramphastos toco,Toco Toucan Tucán Toco
Ramphastos ambiguus,Yellow-throated Toucan Tucán de Garganta Amarilla
Ramphastos tucanus,White-throated Toucan Tucán de Garganta Blanca
Ramphastos brevis,Choco Toucan Tucán del Chocó
Ramphastos vitellinus,Channel-billed Toucan Tucán de Pico Acanalado
Aulacorhynchus albivitta,Southern Emerald-Toucanet Tucancillo Esmeralda Sureño
Aulacorhynchus derbianus,Chestnut-tipped Toucanet Tucancillo de Puntas Castañas
Aulacorhynchus huallagae,Yellow-browed Toucanet Tucancillo de Ceja Amarilla
Aulacorhynchus coeruleicinctis,Blue-banded Toucanet Tucancillo de Franja Celeste
Andigena hypoglauca,Gray-breasted Mountain-Toucan Tucan-Andino de Pecho Gris
Andigena cucullata,Hooded Mountain-Toucan Tucan-Andino Encapuchado
Andigena nigrirostris,Black-billed Mountain-Toucan Tucan-Andino de Pico Negro
Selenidera reinwardtii,Golden-collared Toucanet Tucancillo de Collar Dorado
Pteroglossus inscriptus,Lettered Araçari Arasari Letreado
Pteroglossus torquatus,Collared Araçari Arasari Acollarado
Pteroglossus castanotis,Chestnut-eared Araçari Arasari de Oreja Castaña
Pteroglossus pluricinctus,Many-banded Araçari Arasari Multibandeado
Pteroglossus azara,Ivory-billed Araçari Arasari de Pico Marfil
Pteroglossus beauharnaisii,Curl-crested Araçari Arasari Encrespado
Picumnus aurifrons,Bar-breasted Piculet Carpinterito de Pecho Barrado
Picumnus lafresnayi,Lafresnaye’s Piculet Carpinterito de Lafresnaye
Picumnus sclateri,Ecuadorian Piculet Carpinterito Ecuatoriano
Picumnus steindachneri,Speckle-chested Piculet Carpinterito de Pecho Jaspeado
Picumnus dorbignyanus,Ocellated Piculet Carpinterito Ocelado
Picumnus albosquamatus,White-wedged Piculet Carpinterito Escamado
Picumnus rufiventris,Rufous-breasted Piculet Carpinterito de Pecho Rufo
Picumnus castelnau,Plain-breasted Piculet Carpinterito de Pecho Llano
Picumnus subtilis,Fine-barred Piculet Carpinterito de Barras Finas
Picumnus olivaceus,Olivaceous Piculet Carpinterito Oliváceo
Melanerpes candidus,White Woodpecker Carpintero Blanco
Melanerpes cruentatus,Yellow-tufted Woodpecker Carpintero de Penacho AmarilloOrder PICIFORMES
Melanerpes pucherani,Black-cheeked Woodpecker Carpintero de Cara Negra
Dryobates fumigatus,Smoky-brown Woodpecker Carpintero Pardo
Dryobates kirkii,Red-rumped Woodpecker Carpintero de Lomo Rojo
Dryobates passerinus,Little Woodpecker Carpintero Chico
Dryobates callonotus,Scarlet-backed Woodpecker Carpintero de Dorso Escarlata
Dryobates dignus,Yellow-vented Woodpecker Carpintero de Vientre Amarillo
Dryobates nigriceps,Bar-bellied Woodpecker Carpintero de Vientre Barrado
Dryobates affinis,Red-stained Woodpecker Carpintero Teñido de Rojo
Campephilus pollens,Powerful Woodpecker Carpintero Poderoso
Campephilus haematogaster,Crimson-bellied Woodpecker Carpintero de Vientre Rojo
Campephilus rubricollis,Red-necked Woodpecker Carpintero de Cuello Rojo
Campephilus melanoleucos,Crimson-crested Woodpecker Carpintero de Cresta Roja
Campephilus gayaquilensis,Guayaquil Woodpecker Carpintero Guayaquileño
Dryocopus lineatus,Lineated Woodpecker Carpintero Lineado
Celeus torquatus,Ringed Woodpecker Carpintero Anillado
Celeus grammicus,Scale-breasted Woodpecker Carpintero de Pecho Escamoso
Celeus flavus,Cream-colored Woodpecker Carpintero Crema
Celeus spectabilis,Rufous-headed Woodpecker Carpintero de Cabeza Rufa
Celeus elegans,Chestnut Woodpecker Carpintero Castaño
Piculus leucolaemus,White-throated Woodpecker Carpintero de Garganta Blanca
Piculus flavigula,Yellow-throated Woodpecker Carpintero de Garganta Amarilla
Piculus chrysochloros,Golden-green Woodpecker Carpintero Verde y Dorado
Colaptes rubiginosus,Golden-olive Woodpecker Carpintero Olivo y Dorado
Colaptes rivolii,Crimson-mantled Woodpecker Carpintero de Manto Carmesí
Colaptes atricollis,Black-necked Woodpecker Carpintero de Cuello Negro
Colaptes punctigula,Spot-breasted Woodpecker Carpintero de Pecho Punteado
Colaptes rupicola,Andean Flicker Carpintero Andino
Herpetotheres cachinnans,Laughing Falcon Halcón Reidor
Micrastur ruficollis,Barred Forest-Falcon Halcón-Montés Barrado
Micrastur gilvicollis,Lined Forest-Falcon Halcón-Montés de Ojo Blanco
Micrastur mirandollei,Slaty-backed Forest-Falcon Halcón-Montés de Dorso Gris
Micrastur semitorquatus,Collared Forest-Falcon Halcón-Montés Acollarado
Micrastur buckleyi,Buckley’s Forest-Falcon Halcón-Montés de Buckley
Caracara plancus,Crested Caracara Caracara Crestado
Ibycter americanus,Red-throated Caracara Caracara de Vientre Blanco
Phalcoboenus megalopterus,Mountain Caracara Caracara Cordillerano
Daptrius ater,Black Caracara Caracara Negro
Milvago chimachima,Yellow-headed Caracara Caracara Chimachima
Falco sparverius,American Kestrel Cernícalo Americano
Falco columbarius,Merlin Halcón Esmerejón
Falco rufigularis,Bat Falcon Halcón Caza Murciélagos
Falco deiroleucus,Orange-breasted Falcon Halcón de Pecho Naranja
Falco femoralis,Aplomado Falcon Halcón Aplomado
Falco peregrinus,Peregrine Falcon Halcón Peregrino
Touit huetii,Scarlet-shouldered Parrotlet Periquito de Ala Roja
Touit purpuratus,Sapphire-rumped Parrotlet Periquito de Lomo Zafiro
Touit stictopterus,Spot-winged Parrotlet Periquito de Ala Punteada
Psilopsiagon aurifrons,Mountain Parakeet Perico Cordillerano
Bolborhynchus lineola,Barred Parakeet Perico Barrado
Bolborhynchus orbygnesius,Andean Parakeet Perico Andino
Nannopsittaca dachilleae,Amazonian Parrotlet Periquito Amazónico
Brotogeris sanctithomae,Tui Parakeet Perico Tui
Brotogeris versicolurus,Canary-winged Parakeet Perico de Ala Amarilla
Brotogeris pyrrhoptera,Gray-cheeked Parakeet Perico de Mejilla Gris
Brotogeris cyanoptera,Cobalt-winged Parakeet Perico de Ala Cobalto
Hapalopsittaca pyrrhops,Red-faced Parrot Loro de Cara RojaFamily PSITTACIDAE: Parrots and Macaws / Loros y GuacamayosOrder FALCONIFORMES
Hapalopsittaca melanotis,Black-winged Parrot Loro de Ala Negra
Pyrilia barrabandi,Orange-cheeked Parrot Loro de Mejilla Naranja
Pionus sordidus,Red-billed Parrot Loro de Pico Rojo
Pionus tumultuosus,Speckle-faced Parrot Loro Tumultuoso
Pionus menstruus,Blue-headed Parrot Loro de Cabeza Azul
Pionus chalcopterus,Bronze-winged Parrot Loro de Ala Bronceada
Graydidascalus brachyurus,Short-tailed Parrot Loro de Cola Corta
Amazona festiva,Festive Amazon Loro de Lomo Rojo
Amazona ochrocephala,Yellow-crowned Amazon Loro de Corona Amarilla
Amazona aestiva,Turquoise-fronted Amazon Loro de Frente Turquesa
Amazona farinosa,Mealy Amazon Loro Harinoso
Amazona amazonica,Orange-winged Amazon Loro de Ala Naranja
Amazona mercenarius,Scaly-naped Amazon Loro de Nuca Escamosa
Forpus modestus,Dusky-billed Parrotlet Periquito de Pico Oscuro
Forpus crassirostris,Riparian Parrotlet Periquito Ribereño
Forpus coelestis,Pacific Parrotlet Periquito Esmeralda
Forpus xanthops,Yellow-faced Parrotlet Periquito de Cara Amarilla
Forpus xanthopterygius,Cobalt-rumped Parrotlet Periquito de Lomo Cobalto
Pionites melanocephalus,Black-headed Parrot Loro de Cabeza Negra
Pionites leucogaster,White-bellied Parrot Loro de Vientre Blanco
Deroptyus accipitrinus,Red-fan Parrot Loro de Abanico
Pyrrhura lucianii,Bonaparte’s Parakeet Perico de Bonaparte
Pyrrhura roseifrons,Rose-fronted Parakeet Perico de Frente Rosada
Pyrrhura melanura,Maroon-tailed Parakeet Perico de Cola Marrón
Pyrrhura rupicola,Black-capped Parakeet Perico de Gorro Negro
Pyrrhura albipectus,White-necked Parakeet Perico de Cuello Blanco
Eupsittula aurea,Peach-fronted Parakeet Cotorra de Frente Dorada
Aratinga weddellii,Dusky-headed Parakeet Cotorra de Cabeza Oscura
Orthopsittaca manilatus,Red-bellied Macaw Guacamayo de Vientre Rojo
Primolius couloni,Blue-headed Macaw Guacamayo de Cabeza Azul
Ara ararauna,Blue-and-yellow Macaw Guacamayo Azul y Amarillo
Ara severus,Chestnut-fronted Macaw Guacamayo de Frente Castaña
Ara militaris,Military Macaw Guacamayo Militar
Ara macao,Scarlet Macaw Guacamayo Escarlata
Ara chloropterus,Red-and-green Macaw Guacamayo Rojo y Verde
Leptosittaca branickii,Golden-plumed Parakeet Perico de Mejilla Dorada
Diopsittaca nobilis,Red-shouldered Macaw Guacamayo Enano
Psittacara frontatus,Cordilleran Parakeet Cotorra Cordillerana
Psittacara mitratus,Mitred Parakeet Cotorra Mitrada
Psittacara erythrogenys,Red-masked Parakeet Cotorra de Cabeza Roja
Psittacara leucophthalmus,White-eyed Parakeet Cotorra de Ojo Blanco
Euchrepomis callinota,Rufous-rumped Antwren Hormiguerito de Lomo Rufo
Euchrepomis humeralis,Chestnut-shouldered Antwren Hormiguerito de Hombro Castaño
Euchrepomis sharpei,Yellow-rumped Antwren Hormiguerito de Lomo Amarillo
Euchrepomis spodioptila,Ash-winged Antwren Hormiguerito de Ala Ceniza
Cymbilaimus lineatus,Fasciated Antshrike Batará Lineado
Cymbilaimus sanctaemariae,Bamboo Antshrike Batará de Bambú
Frederickena unduliger,Undulated Antshrike Batará Ondulado
Frederickena fulva,Fulvous Antshrike Batará Leonado
Taraba major,Great Antshrike Batará Grande
Sakesphorus canadensis,Black-crested Antshrike Batará de Cresta Negra
Thamnophilus doliatus,Barred Antshrike Batará Barrado
Thamnophilus ruficapillus,Rufous-capped Antshrike Batará de Gorro Rufo
Thamnophilus zarumae,Chapman’s Antshrike Batará de Chapman
Thamnophilus tenuepunctatus,Lined Antshrike Batará Listado
Thamnophilus palliatus,Chestnut-backed Antshrike Batará de Dorso CastañoOrder PASSERIFORMES
Thamnophilus bernardi,Collared Antshrike Batará Acollarado
Thamnophilus atrinucha,Black-crowned Antshrike Batará de Corona Negra
Thamnophilus schistaceus,Plain-winged Antshrike Batará de Ala Llana
Thamnophilus murinus,Mouse-colored Antshrike Batará Murino
Thamnophilus praecox,Cocha Antshrike Batará de Cocha
Thamnophilus cryptoleucus,Castelnau’s Antshrike Batará de Castelnau
Thamnophilus punctatus,Northern Slaty-Antshrike Batará-Pizarroso Norteño
Thamnophilus caerulescens,Variable Antshrike Batará Variable
Thamnophilus unicolor,Uniform Antshrike Batará Unicolor
Thamnophilus aethiops,White-shouldered Antshrike Batará de Hombro Blanco
