SCIENTIFIC NAME,SPANISH NAME
Leptotila ochraceiventris,Ochre-bellied Dove Paloma de Vientre Ocráceo
Leptotila rufaxilla,Gray-fronted Dove Paloma de Frente Gris
Leptotila pallida,Pallid Dove Paloma Pálida
Zentrygon frenata,White-throated Quail-Dove Paloma-Perdiz de Garganta Blanca
Zenaida meloda,West Peruvian Dove Tórtola Melódica
Zenaida auriculata,Eared Dove Tórtola Orejuda
Claravis pretiosa,Blue Ground Dove Tortolita Azul
Paraclaravis mondetoura,Maroon-chested Ground Dove Tortolita de Pecho Marrón
Metriopelia ceciliae,Bare-faced Ground Dove Tortolita Moteada
Metriopelia melanoptera,Black-winged Ground Dove Tortolita de Ala Negra
Metriopelia aymara,Golden-spotted Ground Dove Tortolita de Puntos Dorados
Columbina passerina,Common Ground Dove Tortolita Común
Columbina minuta,Plain-breasted Ground Dove Tortolita Menuda
Columbina talpacoti,Ruddy Ground Dove Tortolita Rojiza
Columbina buckleyi,Ecuadorian Ground Dove Tortolita Ecuatoriana
Columbina picui,Picui Ground Dove Tortolita Picui
Columbina cruziana,Croaking Ground Dove Tortolita Peruana
Guira guira,Guira Cuckoo Cuclillo Guira
Crotophaga major,Greater Ani Garrapatero Grande
Crotophaga ani,Smooth-billed Ani Garrapatero de Pico Liso
Crotophaga sulcirostris,Groove-billed Ani Garrapatero de Pico Estriado
Tapera naevia,Striped Cuckoo Cuclillo Listado
Dromococcyx phasianellus,Pheasant Cuckoo Cuco Faisán
Dromococcyx pavoninus,Pavonine Cuckoo Cuco Pavonino
Neomorphus geoffroyi,Rufous-vented Ground-Cuckoo Cuco-Terrestre de Vientre Rufo
Neomorphus pucheranii,Red-billed Ground-Cuckoo Cuco-Terrestre de Pico Rojo
Coccycua minuta,Little Cuckoo Cuco Menudo
Coccycua cinerea,Ash-colored Cuckoo Cuclillo Gris
Piaya cayana,Squirrel Cuckoo Cuco Ardilla
Piaya melanogaster,Black-bellied Cuckoo Cuco de Vientre Negro
Coccyzus melacoryphus,Dark-billed Cuckoo Cuclillo de Pico Oscuro
Coccyzus americanus,Yellow-billed Cuckoo Cuclillo de Pico Amarillo
Coccyzus euleri,Pearly-breasted Cuckoo Cuclillo de Pecho Perlado
Coccyzus erythropthalmus,Black-billed Cuckoo Cuclillo de Pico Negro
Coccyzus lansbergi,Gray-capped Cuckoo Cuclillo de Gorro Gris
Steatornis caripensis,Oilbird Guácharo
Phyllaemulor bracteatus,Rufous Potoo Nictibio Rufo
Nyctibius grandis,Great Potoo Nictibio Grande
Nyctibius aethereus,Long-tailed Potoo Nictibio de Cola Larga
Nyctibius griseus,Common Potoo Nictibio Común
Nyctibius maculosus,Andean Potoo Nictibio Andino
Nyctibius leucopterus,White-winged Potoo Nictibio de Ala BlancaOrder STEATORNITHIFORMES
Chordeiles nacunda,Nacunda Nighthawk Chotacabras de Vientre Blanco
Chordeiles rupestris,Sand-colored Nighthawk Chotacabras Arenisco
Chordeiles acutipennis,Lesser Nighthawk Chotacabras Menor
Chordeiles minor,Common Nighthawk Chotacabras Migratorio
Nyctiprogne leucopyga,Band-tailed Nighthawk Chotacabras de Cola Bandeada
Lurocalis semitorquatus,Short-tailed Nighthawk Chotacabras de Cola Corta
Lurocalis rufiventris,Rufous-bellied Nighthawk Chotacabras de Vientre Rufo
Nyctipolus nigrescens,Blackish Nightjar Chotacabras Negruzco
Nyctidromus albicollis,Common Pauraque Chotacabras Común
Nyctidromus anthonyi,Scrub Nightjar Chotacabras de Matorral
Uropsalis segmentata,Swallow-tailed Nightjar Chotacabras de Cola Ahorquillada
