nombre;nombre_comun;nombre_cientifico;descripcion;habitat;reino;filo;subfilo;clase;orden;familia;genero;estado_conservacion;Código IUCN;Categoría CITES;Categoría GBIF;cat_nacional;latitud;longitud;nombre_lugar;region;provincia;distrito;institucion_estudio;categoria
Delfín común de hocico corto;Delfín común de hocico corto;Delphinus delphis;Delphinus delphis Linnaeus, 1758;;Animalia;Chordata;;Mammalia;Cetacea;Delphinidae;Delphinus;NA;LC;II;NA;NA;;;;;;;;
Delfín obscuro;Delfín obscuro;Lagenorhynchus obscurus;Lagenorhynchus obscurus (Gray, 1828);;Animalia;Chordata;;Mammalia;Cetacea;Delphinidae;Lagenorhynchus;NA;LC;II;NA;NA;;;;;;;;
Delfín nariz de botella;Delfín nariz de botella;Tursiops truncatus;Tursiops truncatus (Montagu, 1821);;Animalia;Chordata;;Mammalia;Cetacea;Delphinidae;Tursiops;NA;LC;II;NA;NA;;;;;;;;
Marsopa espinosa, chancho marino o tonino ;Marsopa espinosa, chancho marino o tonino ;Phocoena spinipinnis;Phocoena spinipinnis Burmeister, 1865;;Animalia;Chordata;;Mammalia;Cetacea;Phocoenidae;Phocoena;NA;NT;II;NA;NA;;;;;;;;
Murciélago ahumado;Murciélago ahumado;Amorphochilus schnablii;Amorphochilus schnablii Peters, 1877;;Animalia;Chordata;;Mammalia;Chiroptera;Furipteridae;Amorphochilus;NA;VU;NA;NA;EN;;;;;;;;
Murciélago de cola libre de Kalinowski;Murciélago de cola libre de Kalinowski;Mormopterus kalinowskii;Mormopterus kalinowskii (Thomas, 1893);;Animalia;Chordata;;Mammalia;Chiroptera;Molossidae;Mormopterus;NA;LC;NA;NA;NA;;;;;;;;
Murciélago mastín con cresta de Davison;Murciélago mastín con cresta de Davison;Promops davisoni;Promops davisoni Thomas, 1921;;Animalia;Chordata;;Mammalia;Chiroptera;Molossidae;Promops;NA;DD;NA;NA;NA;;;;;;;;
Murciélago mastín;Murciélago mastín;Tadarida brasiliensis;Tadarida brasiliensis (I.Geoffroy, 1824);;Animalia;Chordata;;Mammalia;Chiroptera;Molossidae;Tadarida;NA;LC;NA;NA;NA;;;;;;;;
Vampiro común;Vampiro común;Desmodus rotundus;Desmodus rotundus (E.Geoffroy, 1810);;Animalia;Chordata;;Mammalia;Chiroptera;Phyllostomidae;Desmodus;VU;LC;NA;NA;NA;;;;;;;;
Murciélago longirostro peruano;Murciélago longirostro peruano;Platalina genovensium;Platalina genovensium Thomas, 1928;;Animalia;Chordata;;Mammalia;Chiroptera;Phyllostomidae;Platalina;NA;NT;NA;NA;EN;;;;;;;;
Murciélago orejudo mayor;Murciélago orejudo mayor;Histiotus macrotus;Histiotus macrotus (Poeppig, 1835);;Animalia;Chordata;;Mammalia;Chiroptera;Vespertilionidae;Histiotus;NA;LC;NA;NA;NA;;;;;;;;
Murciélago orejón andino;Murciélago orejón andino;Histiotus montanus;Histiotus montanus (Philippi & Landbeck, 1861);;Animalia;Chordata;;Mammalia;Chiroptera;Vespertilionidae;Histiotus;NA;LC;NA;NA;NA;;;;;;;;
Murcielaguito de Atacama;Murcielaguito de Atacama;Myotis atacamensis;Myotis atacamensis (Lataste, 1892);;Animalia;Chordata;;Mammalia;Chiroptera;Vespertilionidae;Myotis;NA;EN;NA;NA;NT;;;;;;;;
Marmosa coligruesa de vientre blanco;Marmosa coligruesa de vientre blanco;Thylamys pallidior;Thylamys pallidior (Thomas, 1902);;Animalia;Chordata;;Mammalia;Didelphimorphia;Didelphidae;Thylamys;NA;LC;NA;NA;NA;;;;;;;;
Liebre europea;Liebre europea;Lepus europaeus;Lepus europaeus Pallas, 1778;;Animalia;Chordata;;Mammalia;Lagomorpha;Leporidae;Lepus;NA;LC;NA;NA;NA;;;;;;;;
Rata chinchilla cenicienta;Rata chinchilla cenicienta;Abrocoma cinerea;Abrocoma cinerea Thomas, 1919;;Animalia;Chordata;;Mammalia;Rodentia;Abrocomidae;Abrocoma;NA;LC;NA;NA;NA;;;;;;;;
Sacha cuy;Sacha cuy;Galea musteloides;Galea musteloides Meyen, 1833;;Animalia;Chordata;;Mammalia;Rodentia;Caviidae;Galea;NA;DD;NA;NA;NA;;;;;;;;
Chinchilla andina;Chinchilla andina;Chinchilla chinchilla;Chinchilla chinchilla (Lichtenstein, 1829);;Animalia;Chordata;;Mammalia;Rodentia;Chinchillidae;Chinchilla;CR;EN;I;NA;DD;;;;;;;;
Viscacha peruana;Viscacha peruana;Lagidium peruanum;Lagidium peruanum Meyen, 1833;;Animalia;Chordata;;Mammalia;Rodentia;Chinchillidae;Lagidium;NA;NA;NA;NA;NA;;;;;;;;
Viscacha Chilena;Viscacha Chilena;Lagidium viscacia;Lagidium viscacia (Molina, 1782);;Animalia;Chordata;;Mammalia;Rodentia;Chinchillidae;Lagidium;NA;LC;NA;NA;NA;;;;;;;;
Ratón campestre andino;Ratón campestre andino;Abrothrix andina;Abrothrix andinus (Philippi, 1858);;Animalia;Chordata;;Mammalia;Rodentia;Cricetidae;Abrothrix;NA;NA;NA;NA;NA;;;;;;;;
Ratón campestre de jelski;Ratón campestre de jelski;Abrothrix jelskii;Abrothrix jelskii (Thomas, 1894);;Animalia;Chordata;;Mammalia;Rodentia;Cricetidae;Abrothrix;NA;LC;NA;NA;NA;;;;;;;;
Ratón campestre de vientre blanco;Ratón campestre de vientre blanco;Akodon albiventer;Akodon albiventer Thomas, 1897;;Animalia;Chordata;;Mammalia;Rodentia;Cricetidae;Akodon;NA;LC;NA;NA;NA;;;;;;;;
Rata chinchilla de Sajama;Rata chinchilla de Sajama;Chinchillula sahamae;Chinchillula sahamae Thomas, 1898;;Animalia;Chordata;;Mammalia;Rodentia;Cricetidae;Chinchillula;NA;LC;NA;NA;NA;;;;;;;;
Ratón orejón chileno;Ratón orejón chileno;Phyllotis chilensis;Phyllotis Waterhouse, 1837;;Animalia;Chordata;;Mammalia;Rodentia;Cricetidae;Phyllotis;NA;NA;NA;NA;NA;;;;;;;;
Ratón orejón de Lima;Ratón orejón de Lima;Phyllotis limatus;Phyllotis limatus Thomas, 1912;;Animalia;Chordata;;Mammalia;Rodentia;Cricetidae;Phyllotis;NA;LC;NA;NA;NA;;;;;;;;
Ratón orejón maestro;Ratón orejón maestro;Phyllotis magister;Phyllotis magister Thomas, 1912;;Animalia;Chordata;;Mammalia;Rodentia;Cricetidae;Phyllotis;NA;LC;NA;NA;NA;;;;;;;;
Ratón de puna;Ratón de puna;Punomys lemminus;Punomys lemminus Osgood, 1943;;Animalia;Chordata;;Mammalia;Rodentia;Cricetidae;Punomys;NA;VU;NA;Endémica;VU;;;;;;;;
Tucu-tucu del Titicaca;Tucu-tucu del Titicaca;Ctenomys opimus;Ctenomys opimus Wagner, 1848;;Animalia;Chordata;;Mammalia;Rodentia;Ctenomyidae;Ctenomys;NA;LC;NA;NA;VU;;;;;;;;
Ratón común;Ratón común;Mus musculusA;Mus spec Linnæus, 1758;;Animalia;Chordata;;Mammalia;Rodentia;Muridae;Mus;VU;NA;NA;NA;NA;;;;;;;;
NA;NA;Alstroemeria paupercula;Alstroemeria paupercula Phil.;;Plantae;Tracheophyta;;Liliopsida;Liliales;Alstroemeriaceae;Alstroemeria;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Allium neapolitanum;Allium neapolitanum Cirillo;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Amaryllidaceae;Allium;NA;LC;NA;Introducida;NA;;;;;;;;
Orko-orko;Orko-orko;Bomarea dulcis;Bomarea dulcis (Hook.) Beauverd;;Plantae;Tracheophyta;;Liliopsida;Liliales;Alstroemeriaceae;Bomarea;NA;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Chlidanthus fragrans;Chlidanthus fragrans Herb.;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Amaryllidaceae;Chlidanthus;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Clinanthus incarus;Clinanthus Herb.;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Amaryllidaceae;Clinanthus;NA;NA;NA;Endémica;NA;;;;;;;;
NA;NA;Pyrolirion albicans;Pyrolirion albicans Herb.;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Amaryllidaceae;Pyrolirion;EN;NA;NA;NA;NA;;;;;;;;
Lenteja de agua;Lenteja de agua;Lemna minuta;Lemna minuta Kunth;;Plantae;Tracheophyta;;Liliopsida;Alismatales;Araceae;Lemna;VU;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Lemna valdiviana;Lemna valdiviana Phil.;;Plantae;Tracheophyta;;Liliopsida;Alismatales;Araceae;Lemna;NA;LC;NA;Nativa;NA;;;;;;;;
NA;NA;Zantedeschia aethiopica;Zantedeschia aethiopica (L.) Spreng.;;Plantae;Tracheophyta;;Liliopsida;Alismatales;Araceae;Zantedeschia;VU;LC;NA;Introducida;NA;;;;;;;;
Palmera canaria;Palmera canaria;Phoenix canariensis;Phoenix canariensis H.Wildpret;;Plantae;Tracheophyta;;Liliopsida;Arecales;Arecaceae;Phoenix;NA;LC;NA;Introducida;NA;;;;;;;;
Palmera de Abanico;Palmera de Abanico;Washingtonia filifera;Washingtonia filifera (Rafarin) H.Wendl. ex de Bary;;Plantae;Tracheophyta;;Liliopsida;Arecales;Arecaceae;Washingtonia;NA;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Trihesperus glaucus;Trihesperus glaucus (Ruiz & Pav.) Herb.;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Asparagaceae;Trihesperus;NT;NA;NA;Endémica;NA;;;;;;;;
NA;NA;Asparagus officinalis;Asparagus officinalis L.;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Asparagaceae;Asparagus;NA;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Oziroe biflora;Oziroe biflora (Ruiz & Pav.) Speta;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Asparagaceae;Oziroe;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Puya angulonis;Puya angulonis L.B.Sm.;;Plantae;Tracheophyta;;Liliopsida;Poales;Bromeliaceae;Puya;NA;VU;NA;Endémica;NA;;;;;;;;
Siempre viva;Siempre viva;Tillandsia capillaris;Tillandsia capillaris Ruiz & Pav.;;Plantae;Tracheophyta;;Liliopsida;Poales;Bromeliaceae;Tillandsia;NA;LC;NA;Nativa;NA;;;;;;;;
NA;NA;Tillandsia geissei;Tillandsia geissei Phil.;;Plantae;Tracheophyta;;Liliopsida;Poales;Bromeliaceae;Tillandsia;NA;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Tillandsia hirta;Tillandsia hirta W.Till & L.Hrom.;;Plantae;Tracheophyta;;Liliopsida;Poales;Bromeliaceae;Tillandsia;NA;NA;NA;Nativa;NA;;;;;;;;
Siempre viva;Siempre viva;Tillandsia landbeckii;Tillandsia landbeckii Phil.;;Plantae;Tracheophyta;;Liliopsida;Poales;Bromeliaceae;Tillandsia;NA;NA;NA;Nativa;NA;;;;;;;;
Siempre viva;Siempre viva;Tillandsia purpurea;Tillandsia purpurea Ruiz & Pav.;;Plantae;Tracheophyta;;Liliopsida;Poales;Bromeliaceae;Tillandsia;NA;NA;NA;Nativa;NA;;;;;;;;
Siempre viva;Siempre viva;Tillandsia werdermannii;Tillandsia werdermannii Harms;;Plantae;Tracheophyta;;Liliopsida;Poales;Bromeliaceae;Tillandsia;NA;NA;NA;Endémica;EN;;;;;;;;
NA;NA;Carex incurva;Carex L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Carex;NA;NA;NA;Introducida;NA;;;;;;;;
NA;NA;Cyperus laevigatus;Cyperus laevigatus L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Cyperus;NA;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Cyperus rotundus;Cyperus rotundus L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Cyperus;NA;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Cyperus tacnensis;Cyperus tacnensis Nees & Meyen;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Cyperus;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Eleocharis geniculata;Eleocharis geniculata (L.) Roem. & Schult.;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Eleocharis;NA;LC;NA;Nativa;NA;;;;;;;;
NA;NA;Eleocharis tucumanensis;Eleocharis tucumanensis Barros;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Eleocharis;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Isolepis cernua;Isolepis cernua (Vahl) Roem. & Schult.;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Isolepis;NA;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Phylloscirpus boliviensis;Phylloscirpus boliviensis (Barros) Dhooge & Goetgh.;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Phylloscirpus;NT;LC;NA;Nativa;NA;;;;;;;;
NA;NA;Phylloscirpus deserticola;Phylloscirpus deserticola (Phil.) Dhooge & Goetgh.;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Phylloscirpus;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Schoenoplectus californicus;Schoenoplectus californicus (C.A.Mey.) Soják;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Schoenoplectus;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Zameioscirpus muticus;Zameioscirpus muticus Dhooge & Goetgh.;;Plantae;Tracheophyta;;Liliopsida;Poales;Cyperaceae;Zameioscirpus;NA;NA;NA;Nativa;NA;;;;;;;;
Bertero;Bertero;Elodea potamogeton;Elodea potamogeton (Bertero) Espinosa;;Plantae;Tracheophyta;;Liliopsida;Alismatales;Hydrocharitaceae;Elodea;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Mastigostyla candaravensis;Mastigostyla candaravensis Ravenna;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Iridaceae;Mastigostyla;NA;DD;NA;Endémica;NA;;;;;;;;
NA;NA;Olsynium junceum;Olsynium junceum (E.Mey. ex C.Presl) Goldblatt;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Iridaceae;Olsynium;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Tigridia albicans;Tigridia albicans Ravenna;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Iridaceae;Tigridia;NA;NA;NA;Endémica;NA;;;;;;;;
Kunkuna, Orccotina, Waricha, Tiña;Kunkuna, Orccotina, Waricha, Tiña;Distichia muscoides;Distichia muscoides Nees & Meyen;;Plantae;Tracheophyta;;Liliopsida;Poales;Juncaceae;Distichia;NA;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Distichia filamentosa;Distichia filamentosa Buchenau;;Plantae;Tracheophyta;;Liliopsida;Poales;Juncaceae;Distichia;NA;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Juncus bufonius;Juncus bufonius L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Juncaceae;Juncus;CR;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Juncus ebracteatus;Juncus ebracteatus E.Mey.;;Plantae;Tracheophyta;;Liliopsida;Poales;Juncaceae;Juncus;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Luzula ruiz-lealii;Luzula ruiz-lealii Barros;;Plantae;Tracheophyta;;Liliopsida;Poales;Juncaceae;Luzula;NA;NA;NA;NA;NA;;;;;;;;
Packo;Packo;Oxychloe andina;Oxychloe andina Phil.;;Plantae;Tracheophyta;;Liliopsida;Poales;Juncaceae;Oxychloe;NA;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Patosia clandestina;Patosia clandestina (Phil.) Buchenau;;Plantae;Tracheophyta;;Liliopsida;Poales;Juncaceae;Patosia;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Dichaea laxa;Dichaea laxa (Ruiz & Pav.) Poepp. & Endl.;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Orchidaceae;Dichaea;NT;NA;II;NA;NA;;;;;;;;
NA;NA;Myrosmodes paludosa;Myrosmodes paludosa (Rchb.f.) P.Ortiz;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Orchidaceae;Myrosmodes;NA;LC;II;Nativa;NA;;;;;;;;
NA;NA;Pleurothallis grandiflora;Pleurothallis grandiflora Lindl.;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Orchidaceae;Pleurothallis;NA;NA;II;NA;NA;;;;;;;;
NA;NA;Stelis ascendens;Stelis ascendens Lindl.;;Plantae;Tracheophyta;;Liliopsida;Asparagales;Orchidaceae;Stelis;NA;NA;II;NA;NA;;;;;;;;
NA;NA;Aciachne pulvinata;Aciachne pulvinata Benth.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Aciachne;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Agrostis stolonifera;Agrostis stolonifera L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Agrostis;NA;LC;NA;Introducida;NA;;;;;;;;
Pasto;Pasto;Anthochloa lepidula;Anthochloa lepidula Nees & Meyen;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Poa;NA;NA;NA;NA;NA;;;;;;;;
Pasto;Pasto;Aristida adscensionis;Aristida adscensionis L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Aristida;NA;NA;NA;Nativa;NA;;;;;;;;
Caña hueca;Caña hueca;Arundo donax;Arundo donax L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Arundo;NA;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Avena fatua;Avena fatua L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Avena;NA;LC;NA;Introducida;NA;;;;;;;;
NA;NA;Bouteloua simplex;Bouteloua simplex Lag.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Bouteloua;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Bromus berteroanus;Bromus berteroanus Colla;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Bromus;NA;NA;NA;NA;NA;;;;;;;;
Cebadilla;Cebadilla;Bromus catharticus;Bromus catharticus Vahl;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Bromus;NT;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Bromus lanatus;Bromus lanatus Kunth;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Bromus;CR;NA;NA;NA;NA;;;;;;;;
NA;NA;Cenchrus clandestinus;Cenchrus clandestinus (Hochst. ex Chiov.) Morrone;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cenchrus;CR;LC;NA;Introducida;NA;;;;;;;;
Cadillo;Cadillo;Cenchrus echinatus;Cenchrus echinatus L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cenchrus;NA;LC;NA;Nativa;NA;;;;;;;;
NA;NA;Cenchrus spinifex;Cenchrus spinifex Cav.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cenchrus;NA;NA;NA;NA;NA;;;;;;;;
NA;NA;Cenchrus myosuroides;Cenchrus myosuroides Kunth;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cenchrus;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis breviaristata;Cinnagrostis breviaristata (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis curvula;Cinnagrostis curvula (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Cinnagrostis filifolia;Cinnagrostis filifolia (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis heterophylla;Cinnagrostis heterophylla (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis intermedia;Cinnagrostis intermedia (J.Presl) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis jamesonii;Cinnagrostis jamesonii (Steud.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Cinnagrostis lagurus;Cinnagrostis lagurus (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis minima;Cinnagrostis minima (Pilg.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis nitidula;Cinnagrostis nitidula (Pilg.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis rigescens;Cinnagrostis rigescens (J.Presl) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Cinnagrostis rigida;Cinnagrostis rigida (Kunth) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Cinnagrostis vicunarum;Cinnagrostis vicunarum (Wedd.) P.M.Peterson, Soreng, Romasch. & Barberá;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cinnagrostis;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Chloris halophila;Chloris halophila Parodi;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Chloris;;NA;NA;NA;NA;;;;;;;;
NA;NA;Chloris virgata;Chloris virgata Sw.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Chloris;;NA;NA;NA;NA;;;;;;;;
Cortadera;Cortadera;Cortaderia jubata;Cortaderia jubata (Lemoine) Stapf;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cortaderia;;NA;NA;Nativa;NA;;;;;;;;
Hierba luisa;Hierba luisa;Cymbopogon citratus;Cymbopogon citratus (DC.) Stapf;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cymbopogon;;NA;NA;NA;NA;;;;;;;;
Grama dulce;Grama dulce;Cynodon dactylon;Cynodon dactylon (L.) Pers.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Cynodon;;NA;NA;Introducida;NA;;;;;;;;
NA;NA;Deschampsia eminens;Deschampsia eminens (J.Presl) Saarela;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Deschampsia;;NA;NA;NA;NA;;;;;;;;
NA;NA;Diplachne fusca;Diplachne fusca (L.) P.Beauv. ex Roem. & Schult.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Diplachne;;NA;NA;NA;NA;;;;;;;;
NA;NA;Distichlis humilis;Distichlis humilis Phil.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Distichlis;;NA;NA;NA;NA;;;;;;;;
Grama salada;Grama salada;Distichlis spicata;Distichlis spicata (L.) Greene;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Distichlis;;LC;NA;Nativa;NA;;;;;;;;
NA;NA;Echinochloa crus-;Echinochloa P.Beauv.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Echinochloa;;NA;NA;Introducida;NA;;;;;;;;
NA;NA;Eragrostis attenuata;Eragrostis attenuata Hitchc.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Eragrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Eragrostis virescens;Eragrostis virescens J.Presl;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Eragrostis;;NA;NA;Introducida;NA;;;;;;;;
NA;NA;Eragrostis nigricans;Eragrostis nigricans (Kunth) Steud.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Eragrostis;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Eragrostis peruviana;Eragrostis peruviana (Jacq.) Trin.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Eragrostis;;NA;NA;NA;NA;;;;;;;;
NA;NA;Eragrostis weberbaueri;Eragrostis weberbaueri Pilg.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Eragrostis;;NA;NA;Endémica;NA;;;;;;;;
NA;NA;Festuca ambigua;Festuca ambigua Le Gall;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Festuca;;NA;NA;NA;NA;;;;;;;;
NA;NA;Festuca australis;Festuca australis Nees ex Steud.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Festuca;;NA;NA;NA;NA;;;;;;;;
NA;NA;Festuca dolichophylla;Festuca dolichophylla J.Presl;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Festuca;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Festuca myuros;Festuca myuros L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Festuca;;NA;NA;NA;NA;;;;;;;;
Iro ichu;Iro ichu;Festuca chrysophylla;Festuca chrysophylla Phil.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Festuca;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Festuca rigescens;Festuca rigescens (J.Presl) Kunth;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Festuca;;NA;NA;NA;NA;;;;;;;;
NA;NA;Festuca fiebrigii;Festuca fiebrigii Pilg.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Festuca;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Festuca floribunda;Festuca floribunda (Pilg.) P.M.Peterson, Soreng & Romasch.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Festuca;;NA;NA;NA;NA;;;;;;;;
NA;NA;Hordeum muticum;Hordeum muticum J.Presl;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Hordeum;;LC;NA;Nativa;NA;;;;;;;;
NA;NA;Hordeum vulgare;Hordeum vulgare L.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Hordeum;;LC;NA;Introducida;NA;;;;;;;;
Ichu;Ichu;Jarava ichu;Jarava ichu Ruiz & Pav.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Jarava;;NA;NA;Nativa;NA;;;;;;;;
NA;NA;Muhlenbergia peruviana;Muhlenbergia peruviana (P.Beauv.) Steud.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Muhlenbergia;;NA;NA;NA;NA;;;;;;;;
NA;NA;Nassella asplundii;Nassella asplundii Hitchc.;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Nassella;;NA;NA;NA;NA;;;;;;;;
NA;NA;Nassella brachyphylla;Nassella brachyphylla (Hitchc.) Barkworth;;Plantae;Tracheophyta;;Liliopsida;Poales;Poaceae;Nassella;;NA;NA;NA;NA;;;;;;;;
