"","ESPECIES","INSTITUCIÓN","AÑO","AUTOR","TÍTULO"
"21","Microlophus peruvianus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2013,"Pablo Juan Franco León","ESTUDIO DE Carica candicans EN MORRO SAMA Y LOMAS DE TACAHUAY"
"22","Microlophus peruvianus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2009,"Hipólita Paniagua, Javier Ignacio y Lisseth Silva. ","EVALUACIÓN DE Carica candicans y Weberbaurella brongniartioides DEL ECOSISTEMA LOMAS DEL DESIERTO COSTERO DE LA REGIÓN TACNA"
"23","Microlophus peruvianus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2012,"GOBIERNO REGIONAL TACNA. ","EXPEDIENTE TÉCNICO PROPUESTA DE ZONA RESERVADA LOMAS DE TACAHUAY."
"24","Microlophus peruvianus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2009,"Hipólita Paniagua, Javier Ignacio y Lisseth Silva. ","EVALUACION DE Caesalpinia spinosa EN LAS LOMAS DE TACAHUAY"
"25","Microlophus peruvianus","Gobierno Regional de Tacna.Gerencia de Recursos Naturales y Gestión del Medio Ambiente. Proyecto Zonificación Ecológica Económica de Tacna",2007,"Martin Zambrano Pinto","Eje Temático Ecología Marina"
"26","Microlophus peruvianus","Gobierno Regional de Tacna. GRRNyGMA. Proyecto “Mejoramiento de los Servicios de Gestión Territorial del Departamento de Tacna""",2018,"CONSORCIO SEINNOVA ","Estudio Especializado de Ecosistemas y Hábitat Marino Departamento de Tacna"
"27","Microlophus tigris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2013,"Pablo Juan Franco León","ESTUDIO DE Carica candicans EN MORRO SAMA Y LOMAS DE TACAHUAY"
"28","Microlophus tigris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2009,"Hipólita Paniagua, Javier Ignacio y Lisseth Silva. ","EVALUACIÓN DE Carica candicans y Weberbaurella brongniartioides DEL ECOSISTEMA LOMAS DEL DESIERTO COSTERO DE LA REGIÓN TACNA"
"29","Microlophus tigris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2012,"GOBIERNO REGIONAL TACNA. ","EXPEDIENTE TÉCNICO PROPUESTA DE ZONA RESERVADA LOMAS DE TACAHUAY."
"30","Microlophus tigris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2009,"Hipólita Paniagua, Javier Ignacio y Lisseth Silva. ","EVALUACION DE Caesalpinia spinosa EN LAS LOMAS DE TACAHUAY"
"31","Microlophus tigris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2015,"Evaristo L. López Tejeda","Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire”"
"32","Microlophus tigris","Gobierno Regional de Tacna. GRRNyGA. SGGA. Proyecto de Inversión “Mejoramiento de los Servicios Operativos o Misionales Institucionales en La Sub Gerencia de Gestión Ambiental del Gobierno Regional de Tacna, Distrito de Tacna de la Provincia de Tacna del Departamento de Tacna”- CUI N° 2617548",2024,"Ling Doris Huamani Valderrama","Estudio especializado en inventario de anfibios y reptiles de los sitios prioritarios para la conservación (SPC) Candarave, SPC Huaytire, SPC Altoperú"
"33","Caretta caretta","Gobierno Regional de Tacna. GRRNyGMA. Proyecto “Mejoramiento de los Servicios de Gestión Territorial del Departamento de Tacna""",2018,"CONSORCIO SEINNOVA ","Estudio Especializado de Ecosistemas y Hábitat Marino Departamento de Tacna"
"34","Chelonia mydas","Gobierno Regional de Tacna. GRRNyGMA. Proyecto “Mejoramiento de los Servicios de Gestión Territorial del Departamento de Tacna""",2018,"CONSORCIO SEINNOVA ","Estudio Especializado de Ecosistemas y Hábitat Marino Departamento de Tacna"
"35","Dermochelys coriacea","Gobierno Regional de Tacna. GRRNyGMA. Proyecto “Mejoramiento de los Servicios de Gestión Territorial del Departamento de Tacna""",2018,"CONSORCIO SEINNOVA ","Estudio Especializado de Ecosistemas y Hábitat Marino Departamento de Tacna"
"36","Anas bahamensis","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"37","Anas bahamensis","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"38","Anas bahamensis","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"39","Anas bahamensis","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"40","Anas bahamensis","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"41","Anas flavirostris","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"42","Anas flavirostris","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"43","Anas flavirostris","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"44","Anas flavirostris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"45","Anas flavirostris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"46","Anas flavirostris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2010,"Romina Venturia Candia.","IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"47","Anas flavirostris","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2015,"Evaristo L. López Tejeda","Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"48","Anas georgica","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"49","Anas georgica","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"50","Anas georgica","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"51","Anas georgica","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"52","Lophonetta specularioides","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"53","Lophonetta specularioides","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"54","Lophonetta specularioides","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2010,"Romina Venturia Candia.","IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"55","Lophonetta specularioides","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2015,"Evaristo L. López Tejeda","Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"56","Oressochen melanopterus","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"57","Oressochen melanopterus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"58","Oressochen melanopterus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2010,"Romina Venturia Candia.","IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"59","Oressochen melanopterus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2015,"Evaristo L. López Tejeda","Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"60","Oxyura ferruginea","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"61","Oxyura ferruginea","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"62","Oxyura ferruginea","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"63","Oxyura ferruginea","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"64","Spatula cyanoptera","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"65","Spatula cyanoptera","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"66","Spatula cyanoptera","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"67","Spatula cyanoptera","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"68","Spatula cyanoptera","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Mejoramiento del Servicio de Monitoreo e Información Ambiental"".",2014,"Jhonson Vizcarra Romero.","EVALUACIÓN DE AVES SILVESTRES EN LOS VALLES DE LOCUMBA Y SAMA."
"69","Spatula puna","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"70","Spatula puna","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"71","Spatula puna","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"72","Spatula puna","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2010,"Romina Venturia Candia.","IMPACTO ANTRÓPICO Y AVIFAUNA DE LOS BOFEDALES ALTOANDINOS EN LA REGIÓN TACNA."
"73","Spatula puna","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente.",2015,"Evaristo L. López Tejeda","Estudio de Biodiversidad de los Bofedales de Huaytire, Chaullapujo, Livicalani, Japopunco y Surapata en el Centro Poblado Huaytire"
"74","Aeronautes andecolus","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"75","Aeronautes andecolus","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"76","Aeronautes andecolus","UNIVERSIDAD NACIONAL JORGE BASADRE GROHMANN",2014,"Romina Venturia Candia.","Diversidad y Habitat de la comunidad Ornitológica de la Quebrad de Tacahuay de la Región Tacna"
"77","Aeronautes andecolus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACION DE LA VARIACIÓN POBLACIONAL DE LA AVIFAUNA EN LAGUNAS ALTOANDINAS Y BOFEDALES DE LA REGIÓN TACNA."
"78","Aeronautes andecolus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA VARIACION POBLACIONAL DE LA AVIFAUNA EN LOS HUMEDALES DE ITE."
"79","Aeronautes andecolus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","EVALUACIÓN DE LA COMPOSICIÓN Y DENSIDAD DE AVES EN MONTES RIBEREÑOS DE LA REGIÓN TACNA 2009."
"80","Aeronautes andecolus","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Mejoramiento del Servicio de Monitoreo e Información Ambiental"".",2014,"Jhonson Vizcarra Romero.","EVALUACIÓN DE AVES SILVESTRES EN LOS VALLES DE LOCUMBA Y SAMA."
"81","Chaetura pelagica","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
"82","Chaetura pelagica","Revista Biodiversidad & Conservación Integral (Nº 11 Art. 3)",2006,"Jhonson Vizcarra Romero.","AVES DE LOS HUMEDALES DE ITE Y ALREDEDORES"
"83","Colibri coruscans","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"84","Metallura phoebe","Instituto Nacional de Recursos Naturales (INRENA) Ministerio de Agricultura.",2007,"Letty Salinas Sánchez","AVIFAUNA DE TACNA EN LA RUTA DEL CENSO DE SURI Pterocnemia pennata."
"85","Metallura phoebe","Gobierno Regional de Tacna. Gerencia Regional de Recursos Naturales y Gestión del Medio Ambiente. Proyecto: ""Desarrollo de capacidades para la conservación de la flora y fauna amenazada en la Región Tacna"".",2009,"Nataly Hidalgo Aranzamendi.","AVIFAUNA DEL BOSQUE DE QUEÑUA (Polylepis sp) DE CANDARAVE, REGIÓN TACNA, 2008-2009."
"86","Myrtis fanny","Revista The Biologist (Lima). Vol. 8, Nº1.",2010,"Jhonson Vizcarra Romero.","NUEVOS REGISTROS ORNITOLÓGICOS EN LOS HUMEDALES DE ITE Y ALREDEDORES, TACNA, PERÚ."
